SKU,Date,Demand,Promotion,Holiday,Year,Month,WeekOfYear,Lag1,RollingMean3
SKU_1,2021-02-28,210,0,0,2021,2,8,404.0,307.0
SKU_1,2021-03-31,228,0,0,2021,3,13,210.0,280.6666666666667
SKU_1,2021-04-30,410,1,0,2021,4,17,228.0,282.6666666666667
SKU_1,2021-05-31,283,0,0,2021,5,22,410.0,307.0
SKU_1,2021-06-30,282,0,0,2021,6,26,283.0,325.0
SKU_1,2021-07-31,312,0,0,2021,7,30,282.0,292.3333333333333
SKU_1,2021-08-31,264,0,1,2021,8,35,312.0,286.0
SKU_1,2021-09-30,474,1,0,2021,9,39,264.0,350.0
SKU_1,2021-10-31,295,0,0,2021,10,43,474.0,344.3333333333333
SKU_1,2021-11-30,260,0,0,2021,11,48,295.0,343.0
SKU_1,2021-12-31,420,0,0,2021,12,52,260.0,325.0
SKU_1,2022-01-31,277,0,0,2022,1,5,420.0,319.0
SKU_1,2022-02-28,269,0,0,2022,2,9,277.0,322.0
SKU_1,2022-03-31,270,0,0,2022,3,13,269.0,272.0
SKU_1,2022-04-30,312,0,1,2022,4,17,270.0,283.6666666666667
SKU_1,2022-05-31,281,0,0,2022,5,22,312.0,287.6666666666667
SKU_1,2022-06-30,267,0,1,2022,6,26,281.0,286.6666666666667
SKU_1,2022-07-31,237,0,0,2022,7,30,267.0,261.6666666666667
SKU_1,2022-08-31,218,0,0,2022,8,35,237.0,240.66666666666666
SKU_1,2022-09-30,370,1,0,2022,9,39,218.0,275.0
SKU_1,2022-10-31,240,0,0,2022,10,44,370.0,276.0
SKU_1,2022-11-30,268,0,0,2022,11,48,240.0,292.6666666666667
SKU_1,2022-12-31,399,0,0,2022,12,52,268.0,302.3333333333333
SKU_2,2021-02-28,371,0,0,2021,2,8,431.0,401.0
SKU_2,2021-03-31,517,1,0,2021,3,13,371.0,439.6666666666667
SKU_2,2021-04-30,417,0,0,2021,4,17,517.0,435.0
SKU_2,2021-05-31,396,0,0,2021,5,22,417.0,443.3333333333333
SKU_2,2021-06-30,373,0,0,2021,6,26,396.0,395.3333333333333
SKU_2,2021-07-31,401,0,0,2021,7,30,373.0,390.0
SKU_2,2021-08-31,421,0,1,2021,8,35,401.0,398.3333333333333
SKU_2,2021-09-30,345,0,0,2021,9,39,421.0,389.0
SKU_2,2021-10-31,404,0,0,2021,10,43,345.0,390.0
SKU_2,2021-11-30,343,0,0,2021,11,48,404.0,364.0
SKU_2,2021-12-31,585,0,0,2021,12,52,343.0,444.0
SKU_2,2022-01-31,429,0,0,2022,1,5,585.0,452.3333333333333
SKU_2,2022-02-28,401,0,0,2022,2,9,429.0,471.6666666666667
SKU_2,2022-03-31,374,0,0,2022,3,13,401.0,401.3333333333333
SKU_2,2022-04-30,529,1,0,2022,4,17,374.0,434.6666666666667
SKU_2,2022-05-31,416,0,0,2022,5,22,529.0,439.6666666666667
SKU_2,2022-06-30,321,0,0,2022,6,26,416.0,422.0
SKU_2,2022-07-31,380,0,0,2022,7,30,321.0,372.3333333333333
SKU_2,2022-08-31,400,0,0,2022,8,35,380.0,367.0
SKU_2,2022-09-30,419,0,0,2022,9,39,400.0,399.6666666666667
SKU_2,2022-10-31,380,0,0,2022,10,44,419.0,399.6666666666667
SKU_2,2022-11-30,336,0,0,2022,11,48,380.0,378.3333333333333
SKU_2,2022-12-31,602,0,0,2022,12,52,336.0,439.3333333333333
SKU_3,2021-02-28,362,0,0,2021,2,8,399.0,380.5
SKU_3,2021-03-31,482,1,0,2021,3,13,362.0,414.3333333333333
SKU_3,2021-04-30,356,0,0,2021,4,17,482.0,400.0
SKU_3,2021-05-31,382,0,0,2021,5,22,356.0,406.6666666666667
SKU_3,2021-06-30,370,0,0,2021,6,26,382.0,369.3333333333333
SKU_3,2021-07-31,509,1,0,2021,7,30,370.0,420.3333333333333
SKU_3,2021-08-31,449,0,0,2021,8,35,509.0,442.6666666666667
SKU_3,2021-09-30,383,0,0,2021,9,39,449.0,447.0
SKU_3,2021-10-31,552,1,1,2021,10,43,383.0,461.3333333333333
SKU_3,2021-11-30,391,0,0,2021,11,48,552.0,442.0
SKU_3,2021-12-31,510,0,0,2021,12,52,391.0,484.3333333333333
SKU_3,2022-01-31,614,1,0,2022,1,5,510.0,505.0
SKU_3,2022-02-28,634,1,0,2022,2,9,614.0,586.0
SKU_3,2022-03-31,337,0,0,2022,3,13,634.0,528.3333333333334
SKU_3,2022-04-30,321,0,0,2022,4,17,337.0,430.6666666666667
SKU_3,2022-05-31,579,1,0,2022,5,22,321.0,412.3333333333333
SKU_3,2022-06-30,335,0,0,2022,6,26,579.0,411.6666666666667
SKU_3,2022-07-31,388,0,0,2022,7,30,335.0,434.0
