SKU,Product Name,Category,Dosage Form,Strength,Package Size,Batch Number,Manufacturing Date,Expiration Date,Unit Cost,Selling Price,Stock In,Stock Out,Stock Balance,Distributor ID,Distributor Name,Country,Distributor Type,Order Date,Quantity Ordered,Total Order Cost,Order Status,Payment Status,Shipping Date,Delivery Date,Transaction Date,Season,Holiday,Promotion,Lag_1,Lag_2,Lag_3,Moving Average,Demand Forecast
SKU_1,Medicine_SKU_1,Antifungal,Syrup,231mg,331ml,BN8255,2021-11-23,2022-12-20,14.33,23.94,186,62,124,DIST_16,Distributor_DIST_16,Germany,Pharmacy,2023-01-16,103,2465.82,Pending,Unpaid,2023-01-19,2023-01-27,2023-01-31,Winter,0,0,62,62,62,62.0,186
SKU_2,Medicine_SKU_2,Antifungal,Tablet,170mg,357ml,BN9857,2021-11-10,2023-04-25,42.15,72.11,129,43,86,DIST_21,Distributor_DIST_21,Japan,Wholesale,2023-01-27,61,4398.71,Delivered,Unpaid,2023-01-30,2023-02-08,2023-01-31,Winter,1,0,43,43,43,43.0,129
SKU_3,Medicine_SKU_3,Antiviral,Tablet,123mg,117ml,BN5909,2022-02-04,2024-11-19,24.47,44.61,183,61,122,DIST_38,Distributor_DIST_38,France,Wholesale,2023-01-19,113,5040.93,Delivered,Partially Paid,2023-01-21,2023-01-25,2023-01-31,Winter,0,1,61,61,61,61.0,183
SKU_4,Medicine_SKU_4,Antiviral,Tablet,263mg,312ml,BN8825,2021-12-24,2023-01-02,13.89,21.37,213,71,142,DIST_31,Distributor_DIST_31,USA,Pharmacy,2023-01-20,77,1645.49,Pending,Partially Paid,2023-01-25,2023-01-27,2023-01-31,Winter,0,0,71,71,71,71.0,213
SKU_5,Medicine_SKU_5,Antiviral,Tablet,475mg,204ml,BN4163,2022-06-24,2025-03-17,10.16,19.68,78,26,52,DIST_13,Distributor_DIST_13,France,Wholesale,2023-01-27,180,3542.4,Canceled,Unpaid,2023-01-29,2023-02-04,2023-01-31,Winter,0,1,26,26,26,26.0,78
SKU_6,Medicine_SKU_6,Antifungal,Tablet,323mg,420ml,BN6728,2021-11-24,2023-05-18,46.48,63.24,99,33,66,DIST_43,Distributor_DIST_43,UK,Hospital,2023-01-13,119,7525.56,Pending,Unpaid,2023-01-17,2023-01-26,2023-01-31,Winter,0,0,33,33,33,33.0,99
SKU_7,Medicine_SKU_7,Antifungal,Injection,391mg,392ml,BN2598,2021-11-15,2024-09-05,16.35,20.44,198,66,132,DIST_30,Distributor_DIST_30,India,Retail,2023-01-21,185,3781.4,Delivered,Paid,2023-01-24,2023-01-30,2023-01-31,Winter,0,0,66,66,66,66.0,198
SKU_8,Medicine_SKU_8,Antibiotic,Injection,195mg,425ml,BN9825,2021-12-18,2023-09-25,49.7,97.05,216,72,144,DIST_16,Distributor_DIST_16,India,Pharmacy,2023-01-18,147,14266.35,Pending,Paid,2023-01-20,2023-01-28,2023-01-31,Winter,0,1,72,72,72,72.0,216
SKU_9,Medicine_SKU_9,Antiviral,Tablet,195mg,447ml,BN4303,2021-09-19,2023-12-31,40.49,69.38,27,9,18,DIST_2,Distributor_DIST_2,France,Pharmacy,2023-01-29,22,1526.36,Delivered,Partially Paid,2023-02-02,2023-02-04,2023-01-31,Winter,0,1,9,9,9,9.0,27
SKU_10,Medicine_SKU_10,Antiviral,Injection,374mg,157ml,BN3836,2021-09-29,2024-03-21,47.39,90.84,96,32,64,DIST_20,Distributor_DIST_20,USA,Pharmacy,2023-01-12,55,4996.2,Shipped,Partially Paid,2023-01-16,2023-01-26,2023-01-31,Winter,0,0,32,32,32,32.0,96
SKU_11,Medicine_SKU_11,Antifungal,Tablet,189mg,241ml,BN8046,2022-05-19,2023-05-29,39.72,53.6,15,5,10,DIST_1,Distributor_DIST_1,Germany,Hospital,2023-01-16,151,8093.6,Canceled,Partially Paid,2023-01-18,2023-01-23,2023-01-31,Winter,0,1,5,5,5,5.0,15
SKU_12,Medicine_SKU_12,Antifungal,Injection,378mg,367ml,BN3317,2022-05-20,2024-05-19,15.94,25.97,186,62,124,DIST_15,Distributor_DIST_15,USA,Wholesale,2023-01-13,178,4622.66,Shipped,Unpaid,2023-01-17,2023-01-24,2023-01-31,Winter,0,1,62,62,62,62.0,186
SKU_13,Medicine_SKU_13,Antifungal,Capsule,260mg,102ml,BN5867,2022-03-07,2023-09-12,47.06,83.15,174,58,116,DIST_44,Distributor_DIST_44,Japan,Wholesale,2023-01-16,131,10892.650000000001,Delivered,Unpaid,2023-01-20,2023-01-28,2023-01-31,Winter,0,0,58,58,58,58.0,174
SKU_14,Medicine_SKU_14,Painkiller,Syrup,273mg,411ml,BN5548,2022-05-06,2023-09-24,33.28,45.29,171,57,114,DIST_21,Distributor_DIST_21,UK,Retail,2023-01-11,76,3442.04,Pending,Partially Paid,2023-01-16,2023-01-20,2023-01-31,Winter,0,0,57,57,57,57.0,171
SKU_15,Medicine_SKU_15,Antiviral,Syrup,75mg,233ml,BN6928,2021-11-11,2023-01-12,40.54,49.13,207,69,138,DIST_9,Distributor_DIST_9,India,Retail,2023-01-22,187,9187.310000000001,Pending,Partially Paid,2023-01-24,2023-01-29,2023-01-31,Winter,0,0,69,69,69,69.0,207
