SKU,Date,Demand,Promotion,Holiday
SKU_1,2021-01-31,404,1,0
SKU_1,2021-02-28,210,0,0
SKU_1,2021-03-31,228,0,0
SKU_1,2021-04-30,410,1,0
SKU_1,2021-05-31,283,0,0
SKU_1,2021-06-30,282,0,0
SKU_1,2021-07-31,312,0,0
SKU_1,2021-08-31,264,0,1
SKU_1,2021-09-30,474,1,0
SKU_1,2021-10-31,295,0,0
SKU_1,2021-11-30,260,0,0
SKU_1,2021-12-31,420,0,0
SKU_1,2022-01-31,277,0,0
SKU_1,2022-02-28,269,0,0
SKU_1,2022-03-31,270,0,0
SKU_1,2022-04-30,312,0,1
SKU_1,2022-05-31,281,0,0
SKU_1,2022-06-30,267,0,1
SKU_1,2022-07-31,237,0,0
SKU_1,2022-08-31,218,0,0
SKU_1,2022-09-30,370,1,0
SKU_1,2022-10-31,240,0,0
SKU_1,2022-11-30,268,0,0
SKU_1,2022-12-31,399,0,0
SKU_2,2021-01-31,431,0,0
SKU_2,2021-02-28,371,0,0
SKU_2,2021-03-31,517,1,0
SKU_2,2021-04-30,417,0,0
SKU_2,2021-05-31,396,0,0
SKU_2,2021-06-30,373,0,0
SKU_2,2021-07-31,401,0,0
SKU_2,2021-08-31,421,0,1
SKU_2,2021-09-30,345,0,0
SKU_2,2021-10-31,404,0,0
SKU_2,2021-11-30,343,0,0
SKU_2,2021-12-31,585,0,0
SKU_2,2022-01-31,429,0,0
SKU_2,2022-02-28,401,0,0
SKU_2,2022-03-31,374,0,0
SKU_2,2022-04-30,529,1,0
SKU_2,2022-05-31,416,0,0
SKU_2,2022-06-30,321,0,0
SKU_2,2022-07-31,380,0,0
SKU_2,2022-08-31,400,0,0
SKU_2,2022-09-30,419,0,0
SKU_2,2022-10-31,380,0,0
SKU_2,2022-11-30,336,0,0
SKU_2,2022-12-31,602,0,0
SKU_3,2021-01-31,399,0,1
SKU_3,2021-02-28,362,0,0
SKU_3,2021-03-31,482,1,0
SKU_3,2021-04-30,356,0,0
SKU_3,2021-05-31,382,0,0
SKU_3,2021-06-30,370,0,0
SKU_3,2021-07-31,509,1,0
SKU_3,2021-08-31,449,0,0
SKU_3,2021-09-30,383,0,0
SKU_3,2021-10-31,552,1,1
SKU_3,2021-11-30,391,0,0
SKU_3,2021-12-31,510,0,0
SKU_3,2022-01-31,614,1,0
SKU_3,2022-02-28,634,1,0
SKU_3,2022-03-31,337,0,0
SKU_3,2022-04-30,321,0,0
SKU_3,2022-05-31,579,1,0
SKU_3,2022-06-30,335,0,0
SKU_3,2022-07-31,388,0,0
SKU_3,2022-08-31,674,1,0
SKU_3,2022-09-30,350,0,0
SKU_3,2022-10-31,495,1,0
SKU_3,2022-11-30,448,0,0
SKU_3,2022-12-31,588,0,0
SKU_4,2021-01-31,438,0,0
SKU_4,2021-02-28,423,0,0
SKU_4,2021-03-31,420,0,0
SKU_4,2021-04-30,446,0,0
SKU_4,2021-05-31,359,0,0
SKU_4,2021-06-30,483,0,0
SKU_4,2021-07-31,552,0,1
SKU_4,2021-08-31,504,0,1
SKU_4,2021-09-30,432,0,0
SKU_4,2021-10-31,501,0,1
SKU_4,2021-11-30,507,0,0
SKU_4,2021-12-31,566,0,0
SKU_4,2022-01-31,598,1,0
SKU_4,2022-02-28,484,0,0
SKU_4,2022-03-31,673,1,0
SKU_4,2022-04-30,469,0,1
SKU_4,2022-05-31,543,0,0
SKU_4,2022-06-30,504,0,1
SKU_4,2022-07-31,432,0,0
SKU_4,2022-08-31,451,0,0
SKU_4,2022-09-30,433,0,1
SKU_4,2022-10-31,492,0,0
SKU_4,2022-11-30,530,0,0
SKU_4,2022-12-31,695,0,0
SKU_5,2021-01-31,609,1,0
SKU_5,2021-02-28,425,0,0
SKU_5,2021-03-31,417,0,0
SKU_5,2021-04-30,377,0,0
SKU_5,2021-05-31,420,0,0
SKU_5,2021-06-30,418,0,1
SKU_5,2021-07-31,666,1,0
SKU_5,2021-08-31,391,0,0
SKU_5,2021-09-30,469,1,0
SKU_5,2021-10-31,456,0,0
SKU_5,2021-11-30,442,0,0
SKU_5,2021-12-31,697,0,0
SKU_5,2022-01-31,646,1,0
SKU_5,2022-02-28,438,0,0
SKU_5,2022-03-31,474,0,0
SKU_5,2022-04-30,433,0,0
SKU_5,2022-05-31,574,1,0
SKU_5,2022-06-30,452,0,0
SKU_5,2022-07-31,399,0,0
SKU_5,2022-08-31,348,0,1
SKU_5,2022-09-30,459,0,1
SKU_5,2022-10-31,486,1,1
SKU_5,2022-11-30,365,0,0
SKU_5,2022-12-31,735,0,0
SKU_6,2021-01-31,237,1,0
SKU_6,2021-02-28,162,0,0
SKU_6,2021-03-31,140,0,0
SKU_6,2021-04-30,161,0,0
SKU_6,2021-05-31,159,0,1
SKU_6,2021-06-30,175,0,0
SKU_6,2021-07-31,252,1,0
SKU_6,2021-08-31,249,1,0
SKU_6,2021-09-30,143,0,0
SKU_6,2021-10-31,153,0,0
SKU_6,2021-11-30,171,0,1
SKU_6,2021-12-31,239,0,0
SKU_6,2022-01-31,231,1,0
SKU_6,2022-02-28,161,0,0
SKU_6,2022-03-31,159,0,0
SKU_6,2022-04-30,234,1,0
SKU_6,2022-05-31,138,0,0
SKU_6,2022-06-30,159,0,0
SKU_6,2022-07-31,137,0,0
SKU_6,2022-08-31,155,0,0
SKU_6,2022-09-30,152,0,0
SKU_6,2022-10-31,158,0,0
SKU_6,2022-11-30,143,0,0
SKU_6,2022-12-31,244,0,0
SKU_7,2021-01-31,238,0,0
SKU_7,2021-02-28,180,0,0
SKU_7,2021-03-31,211,0,0
SKU_7,2021-04-30,199,0,0
SKU_7,2021-05-31,209,0,0
SKU_7,2021-06-30,222,0,0
SKU_7,2021-07-31,225,0,0
SKU_7,2021-08-31,303,1,0
SKU_7,2021-09-30,178,0,0
SKU_7,2021-10-31,206,0,0
SKU_7,2021-11-30,200,0,0
SKU_7,2021-12-31,327,0,0
SKU_7,2022-01-31,200,0,0
SKU_7,2022-02-28,247,0,0
SKU_7,2022-03-31,219,0,0
SKU_7,2022-04-30,248,0,0
SKU_7,2022-05-31,298,1,0
SKU_7,2022-06-30,235,0,0
SKU_7,2022-07-31,262,0,0
SKU_7,2022-08-31,235,0,0
SKU_7,2022-09-30,202,0,0
SKU_7,2022-10-31,216,0,0
SKU_7,2022-11-30,328,1,0
SKU_7,2022-12-31,338,0,0
SKU_8,2021-01-31,272,1,0
SKU_8,2021-02-28,191,0,1
SKU_8,2021-03-31,224,0,0
SKU_8,2021-04-30,214,0,0
SKU_8,2021-05-31,211,0,0
SKU_8,2021-06-30,221,0,0
SKU_8,2021-07-31,293,1,0
SKU_8,2021-08-31,221,0,0
SKU_8,2021-09-30,211,0,0
SKU_8,2021-10-31,219,0,0
SKU_8,2021-11-30,336,1,0
SKU_8,2021-12-31,240,0,0
SKU_8,2022-01-31,224,0,1
SKU_8,2022-02-28,314,1,0
SKU_8,2022-03-31,226,0,0
SKU_8,2022-04-30,207,0,0
SKU_8,2022-05-31,185,0,0
SKU_8,2022-06-30,235,0,0
SKU_8,2022-07-31,209,0,0
SKU_8,2022-08-31,202,0,0
SKU_8,2022-09-30,346,1,1
SKU_8,2022-10-31,181,0,0
SKU_8,2022-11-30,205,0,0
SKU_8,2022-12-31,339,0,0
SKU_9,2021-01-31,209,0,0
SKU_9,2021-02-28,228,0,0
SKU_9,2021-03-31,320,1,0
SKU_9,2021-04-30,328,1,0
SKU_9,2021-05-31,192,0,0
SKU_9,2021-06-30,310,1,0
SKU_9,2021-07-31,242,0,0
SKU_9,2021-08-31,240,0,0
SKU_9,2021-09-30,259,1,0
SKU_9,2021-10-31,216,0,0
SKU_9,2021-11-30,280,1,0
SKU_9,2021-12-31,370,1,0
SKU_9,2022-01-31,217,0,0
SKU_9,2022-02-28,201,0,0
SKU_9,2022-03-31,191,0,0
SKU_9,2022-04-30,213,0,1
SKU_9,2022-05-31,246,0,0
SKU_9,2022-06-30,228,0,0
SKU_9,2022-07-31,220,0,0
SKU_9,2022-08-31,341,1,0
SKU_9,2022-09-30,295,1,0
SKU_9,2022-10-31,173,0,0
SKU_9,2022-11-30,226,0,0
SKU_9,2022-12-31,464,1,0
SKU_10,2021-01-31,96,0,0
SKU_10,2021-02-28,122,0,0
SKU_10,2021-03-31,109,0,0
SKU_10,2021-04-30,123,0,0
SKU_10,2021-05-31,126,0,0
SKU_10,2021-06-30,165,1,0
SKU_10,2021-07-31,127,0,0
SKU_10,2021-08-31,91,0,0
SKU_10,2021-09-30,101,0,0
SKU_10,2021-10-31,186,1,0
SKU_10,2021-11-30,201,1,0
SKU_10,2021-12-31,281,1,0
SKU_10,2022-01-31,136,0,0
SKU_10,2022-02-28,216,1,0
SKU_10,2022-03-31,129,0,0
SKU_10,2022-04-30,107,0,0
SKU_10,2022-05-31,164,1,0
SKU_10,2022-06-30,154,1,0
SKU_10,2022-07-31,124,0,0
SKU_10,2022-08-31,98,0,0
SKU_10,2022-09-30,136,0,0
SKU_10,2022-10-31,115,0,0
SKU_10,2022-11-30,135,0,0
SKU_10,2022-12-31,248,1,0
SKU_11,2021-01-31,325,0,0
SKU_11,2021-02-28,375,0,0
SKU_11,2021-03-31,288,0,0
SKU_11,2021-04-30,551,1,0
SKU_11,2021-05-31,548,1,0
SKU_11,2021-06-30,380,0,0
SKU_11,2021-07-31,346,0,0
SKU_11,2021-08-31,316,0,0
SKU_11,2021-09-30,323,0,0
SKU_11,2021-10-31,354,0,0
SKU_11,2021-11-30,556,1,0
SKU_11,2021-12-31,539,0,0
SKU_11,2022-01-31,307,0,0
SKU_11,2022-02-28,350,0,0
SKU_11,2022-03-31,346,0,0
SKU_11,2022-04-30,325,0,0
SKU_11,2022-05-31,340,0,0
SKU_11,2022-06-30,413,0,0
SKU_11,2022-07-31,386,0,0
SKU_11,2022-08-31,346,0,1
SKU_11,2022-09-30,442,1,1
SKU_11,2022-10-31,529,1,0
SKU_11,2022-11-30,278,0,0
SKU_11,2022-12-31,539,0,0
SKU_12,2021-01-31,318,0,1
SKU_12,2021-02-28,294,0,0
SKU_12,2021-03-31,303,0,0
SKU_12,2021-04-30,336,0,0
SKU_12,2021-05-31,353,0,0
SKU_12,2021-06-30,277,0,0
SKU_12,2021-07-31,421,1,0
SKU_12,2021-08-31,309,0,0
SKU_12,2021-09-30,318,0,0
SKU_12,2021-10-31,408,1,0
SKU_12,2021-11-30,497,1,0
SKU_12,2021-12-31,494,0,0
SKU_12,2022-01-31,381,0,0
SKU_12,2022-02-28,308,0,0
SKU_12,2022-03-31,338,0,0
SKU_12,2022-04-30,539,1,0
SKU_12,2022-05-31,294,0,0
SKU_12,2022-06-30,325,0,0
SKU_12,2022-07-31,264,0,0
SKU_12,2022-08-31,329,0,0
SKU_12,2022-09-30,530,1,0
SKU_12,2022-10-31,313,0,0
SKU_12,2022-11-30,326,0,0
SKU_12,2022-12-31,412,0,0
SKU_13,2021-01-31,225,1,0
SKU_13,2021-02-28,133,0,0
SKU_13,2021-03-31,154,0,0
SKU_13,2021-04-30,254,1,0
SKU_13,2021-05-31,143,0,0
SKU_13,2021-06-30,119,0,1
SKU_13,2021-07-31,128,0,1
SKU_13,2021-08-31,158,0,1
SKU_13,2021-09-30,138,0,0
SKU_13,2021-10-31,167,0,1
SKU_13,2021-11-30,242,1,0
SKU_13,2021-12-31,172,0,0
SKU_13,2022-01-31,150,0,0
SKU_13,2022-02-28,183,1,0
SKU_13,2022-03-31,149,0,0
SKU_13,2022-04-30,121,0,0
SKU_13,2022-05-31,146,0,0
SKU_13,2022-06-30,139,0,0
SKU_13,2022-07-31,144,0,0
SKU_13,2022-08-31,101,0,1
SKU_13,2022-09-30,263,1,0
SKU_13,2022-10-31,156,0,0
SKU_13,2022-11-30,166,0,0
SKU_13,2022-12-31,240,0,0
SKU_14,2021-01-31,531,0,0
SKU_14,2021-02-28,381,0,0
SKU_14,2021-03-31,512,0,0
SKU_14,2021-04-30,774,1,1
SKU_14,2021-05-31,463,0,0
SKU_14,2021-06-30,461,0,0
SKU_14,2021-07-31,489,0,0
SKU_14,2021-08-31,459,0,0
SKU_14,2021-09-30,499,0,0
SKU_14,2021-10-31,519,0,0
SKU_14,2021-11-30,737,1,0
SKU_14,2021-12-31,813,0,0
SKU_14,2022-01-31,508,0,0
SKU_14,2022-02-28,464,0,0
SKU_14,2022-03-31,401,0,0
SKU_14,2022-04-30,412,0,0
SKU_14,2022-05-31,503,0,0
SKU_14,2022-06-30,468,0,1
SKU_14,2022-07-31,706,1,0
SKU_14,2022-08-31,574,0,0
SKU_14,2022-09-30,472,0,0
SKU_14,2022-10-31,516,0,0
SKU_14,2022-11-30,516,0,0
SKU_14,2022-12-31,763,0,0
SKU_15,2021-01-31,599,1,0
SKU_15,2021-02-28,453,0,0
SKU_15,2021-03-31,412,0,0
SKU_15,2021-04-30,370,0,0
SKU_15,2021-05-31,361,0,0
SKU_15,2021-06-30,596,1,0
SKU_15,2021-07-31,363,0,0
SKU_15,2021-08-31,408,0,0
SKU_15,2021-09-30,370,0,0
SKU_15,2021-10-31,354,0,0
SKU_15,2021-11-30,356,0,0
SKU_15,2021-12-31,612,0,0
SKU_15,2022-01-31,358,0,0
SKU_15,2022-02-28,432,0,0
SKU_15,2022-03-31,323,0,0
SKU_15,2022-04-30,369,0,0
SKU_15,2022-05-31,384,0,0
SKU_15,2022-06-30,384,0,0
SKU_15,2022-07-31,420,0,0
SKU_15,2022-08-31,353,0,0
SKU_15,2022-09-30,372,0,1
SKU_15,2022-10-31,354,0,0
SKU_15,2022-11-30,423,0,0
SKU_15,2022-12-31,621,0,0
SKU_16,2021-01-31,546,1,0
SKU_16,2021-02-28,348,0,0
SKU_16,2021-03-31,326,0,0
SKU_16,2021-04-30,552,1,1
SKU_16,2021-05-31,275,0,0
SKU_16,2021-06-30,335,0,0
SKU_16,2021-07-31,315,0,1
SKU_16,2021-08-31,290,0,0
SKU_16,2021-09-30,336,0,0
SKU_16,2021-10-31,329,0,0
SKU_16,2021-11-30,307,0,0
SKU_16,2021-12-31,387,0,0
SKU_16,2022-01-31,332,0,0
SKU_16,2022-02-28,357,0,0
SKU_16,2022-03-31,296,0,1
SKU_16,2022-04-30,342,0,0
SKU_16,2022-05-31,280,0,0
SKU_16,2022-06-30,309,0,0
SKU_16,2022-07-31,342,0,0
SKU_16,2022-08-31,356,0,0
SKU_16,2022-09-30,482,1,0
SKU_16,2022-10-31,328,0,0
SKU_16,2022-11-30,321,0,0
SKU_16,2022-12-31,437,0,0
SKU_17,2021-01-31,380,0,0
SKU_17,2021-02-28,390,0,0
SKU_17,2021-03-31,419,0,0
SKU_17,2021-04-30,310,0,0
SKU_17,2021-05-31,338,0,0
SKU_17,2021-06-30,310,0,0
SKU_17,2021-07-31,367,0,0
SKU_17,2021-08-31,360,0,0
SKU_17,2021-09-30,443,1,0
SKU_17,2021-10-31,598,1,0
SKU_17,2021-11-30,368,0,0
SKU_17,2021-12-31,577,0,0
SKU_17,2022-01-31,436,0,0
SKU_17,2022-02-28,403,0,0
SKU_17,2022-03-31,428,0,0
SKU_17,2022-04-30,327,0,0
SKU_17,2022-05-31,364,0,0
SKU_17,2022-06-30,294,0,0
SKU_17,2022-07-31,402,0,0
SKU_17,2022-08-31,463,0,0
SKU_17,2022-09-30,327,0,0
SKU_17,2022-10-31,325,0,0
SKU_17,2022-11-30,393,0,0
SKU_17,2022-12-31,554,0,0
SKU_18,2021-01-31,271,0,0
SKU_18,2021-02-28,292,0,0
SKU_18,2021-03-31,237,0,0
SKU_18,2021-04-30,398,1,0
SKU_18,2021-05-31,320,0,0
SKU_18,2021-06-30,283,0,0
SKU_18,2021-07-31,423,1,0
SKU_18,2021-08-31,337,0,0
SKU_18,2021-09-30,251,0,0
SKU_18,2021-10-31,271,0,0
SKU_18,2021-11-30,463,1,0
SKU_18,2021-12-31,457,0,0
SKU_18,2022-01-31,341,1,0
SKU_18,2022-02-28,353,1,0
SKU_18,2022-03-31,285,0,0
SKU_18,2022-04-30,275,0,0
SKU_18,2022-05-31,303,0,0
SKU_18,2022-06-30,277,0,0
SKU_18,2022-07-31,291,0,0
SKU_18,2022-08-31,423,1,0
SKU_18,2022-09-30,285,0,0
SKU_18,2022-10-31,323,0,0
SKU_18,2022-11-30,301,0,0
SKU_18,2022-12-31,577,1,0
SKU_19,2021-01-31,359,0,1
SKU_19,2021-02-28,343,0,0
SKU_19,2021-03-31,330,0,0
SKU_19,2021-04-30,480,1,1
SKU_19,2021-05-31,314,0,0
SKU_19,2021-06-30,322,0,0
SKU_19,2021-07-31,337,0,0
SKU_19,2021-08-31,287,0,0
SKU_19,2021-09-30,403,0,0
SKU_19,2021-10-31,366,0,0
SKU_19,2021-11-30,275,0,0
SKU_19,2021-12-31,450,0,0
