SKU,Stock In,Stock Out,Stock Balance,Days_Until_Expiry,Lead_Time,Season,Holiday,Promotion,Lag_1,Lag_2,Lag_3,Moving Average,Demand Forecast,Order_Day,Order_Month,Order_Weekday,Days_Since_Last_Order
0,186,62,124,-827,11,3,0,0,62,62,62,62.0,186,16,1,0,0.0
62,129,43,86,-701,12,3,1,0,43,43,43,43.0,129,27,1,4,11.0
73,183,61,122,-127,6,3,0,1,61,61,61,61.0,183,19,1,3,-8.0
84,213,71,142,-814,7,3,0,0,71,71,71,71.0,213,20,1,4,1.0
95,78,26,52,-9,8,3,0,1,26,26,26,26.0,78,27,1,4,7.0
106,99,33,66,-678,13,3,0,0,33,33,33,33.0,99,13,1,4,-14.0
117,198,66,132,-202,9,3,0,0,66,66,66,66.0,198,21,1,5,8.0
128,216,72,144,-548,10,3,0,1,72,72,72,72.0,216,18,1,2,-3.0
139,27,9,18,-451,6,3,0,1,9,9,9,9.0,27,29,1,6,11.0
1,96,32,64,-370,14,3,0,0,32,32,32,32.0,96,12,1,3,-17.0
12,15,5,10,-667,7,3,0,1,5,5,5,5.0,15,16,1,0,4.0
23,186,62,124,-311,11,3,0,1,62,62,62,62.0,186,13,1,4,-3.0
34,174,58,116,-561,12,3,0,0,58,58,58,58.0,174,16,1,0,3.0
45,171,57,114,-549,9,3,0,0,57,57,57,57.0,171,11,1,2,-5.0
56,207,69,138,-804,7,3,0,0,69,69,69,69.0,207,22,1,6,11.0
58,195,65,130,-342,4,3,0,1,65,65,65,65.0,195,13,1,4,-9.0
59,24,8,16,-158,7,3,0,0,8,8,8,8.0,24,30,1,0,17.0
60,120,40,80,-322,8,3,0,0,40,40,40,40.0,120,17,1,1,-13.0
61,21,7,14,-153,15,3,0,1,7,7,7,7.0,21,27,1,4,10.0
63,285,95,190,-465,10,3,0,1,95,95,95,95.0,285,18,1,2,-9.0
64,108,36,72,-622,9,3,0,1,36,36,36,36.0,108,13,1,4,-5.0
65,180,60,120,-139,12,3,0,0,60,60,60,60.0,180,13,1,4,0.0
